Name of Student,GENERAL_APPEARANCE,MANNER_OF_SPEAKING,PHYSICAL_CONDITION,MENTAL_ALERTNESS,SELF_CONFIDENCE,ABILITY_TO_PRESENT IDEAS,COMMUNICATION_SKILLS,Student_Performance_Rating,CLASS
Student 1,2,5,4,5,2,5,5,5,Employable
Student 2,5,4,4,4,1,4,3,5,Employable
Student 3,4,3,3,3,4,3,2,5,LessEmployable
Student 4,2,3,3,2,1,3,3,5,LessEmployable
Student 5,1,4,3,3,3,4,3,5,Employable
Student 6,3,4,3,3,3,3,3,5,Employable
Student 7,2,4,4,3,5,3,3,3,Employable
Student 8,2,3,3,4,2,3,3,5,Employable
Student 9,1,4,4,4,3,4,4,5,Employable
Student 10,1,4,3,4,5,4,4,5,Employable
Student 11,3,5,5,5,3,5,4,5,LessEmployable
Student 12,2,4,4,4,4,4,4,5,Employable
Student 13,4,3,3,2,1,3,2,5,LessEmployable
Student 14,4,3,3,3,2,2,2,4,LessEmployable
Student 15,1,4,3,4,4,4,3,5,LessEmployable
Student 16,3,3,3,3,4,3,3,4,LessEmployable
Student 17,2,3,3,3,1,3,3,4,LessEmployable
Student 18,3,4,4,4,3,4,4,5,LessEmployable
Student 19,2,4,4,5,3,4,4,5,LessEmployable
Student 20,4,3,3,4,4,4,3,5,LessEmployable
Student 21,3,4,5,4,4,4,4,5,Employable
Student 22,3,4,4,4,3,4,4,3,Employable
Student 23,4,4,5,5,2,5,4,5,Employable
Student 24,3,3,3,3,2,3,3,3,LessEmployable
Student 25,2,5,5,5,5,4,4,4,Employable
Student 26,3,5,4,4,5,5,4,3,Employable
Student 27,4,4,4,4,5,3,3,3,LessEmployable
Student 28,3,5,5,5,4,4,4,3,Employable
Student 29,3,4,4,4,4,5,4,5,Employable
Student 30,5,5,5,5,2,5,4,5,Employable
Student 31,1,3,4,4,2,4,3,5,LessEmployable
Student 32,3,3,4,4,4,3,3,3,LessEmployable
Student 33,5,5,4,5,3,4,4,5,LessEmployable
Student 34,3,4,4,5,4,4,3,5,LessEmployable
Student 35,3,4,5,5,4,5,5,5,Employable
Student 36,2,3,3,4,2,3,3,3,Employable
Student 37,2,5,5,5,4,5,4,5,Employable
Student 38,5,5,4,5,3,5,5,5,Employable
Student 39,5,4,3,3,5,4,4,3,LessEmployable
Student 40,4,5,5,5,3,4,4,5,Employable
Student 41,2,5,5,5,3,4,4,5,Employable
